trial,per_device_train_batch_size,learning_rate,weight_decay,warmup_ratio,best_epoch,best_f1
0,8,7.380543988261917e-05,0.12402138587151468,0.23061749819442062,5.0,0.9674027562141418
1,64,3.455324640374897e-05,0.16476471983901309,0.24594875423357224,10.0,0.9686520099639893
2,8,3.291250446160275e-05,0.2844605026949592,0.05340771580003234,7.0,0.9726027250289917
3,8,2.242569976881417e-05,0.46988527276222053,0.13544863545611835,5.0,0.9732283353805542
4,32,2.5210808158479852e-05,0.4007858190536872,0.19600571669452088,7.0,0.9706806540489197
5,64,1.1942036598467226e-05,0.1786628839485051,0.25063875646990474,1.0,0.0
6,8,1.6073115319958566e-05,0.1217632869019179,0.24377915143142287,1.0,0.8704414367675781
7,32,1.2636915131976456e-05,0.3397966946370615,0.03345421222112531,1.0,0.8703527450561523
8,16,2.556953083725349e-05,0.27260919681660206,0.2424126030954042,7.0,0.9707724452018738
9,16,4.0231419174473006e-05,0.30021744396510014,0.045640426188999994,4.0,0.972774863243103
10,8,5.8927241898390153e-05,0.03599227926530296,0.10425430567758762,1.0,0.7419913411140442
11,64,4.119428030411181e-05,0.2067829285375582,0.2992420207211885,1.0,0.6999524235725403
12,64,3.9512450167814033e-05,0.0024640547057471207,0.0003385795885634882,5.0,0.9732844233512878
13,64,5.958947329153607e-05,0.01470963808777747,0.010134823203415426,5.0,0.9747899174690247
14,64,5.038028308857498e-05,0.378748686968601,0.08029754736696428,1.0,0.9308565258979797
15,8,8.765299994751378e-05,0.2414707176285555,0.0034547333380553213,2.0,0.9567933082580566
16,16,1.864591707519941e-05,0.09858770060352284,0.07028235716914594,1.0,0.9496626853942871
17,32,3.0337428312766304e-05,0.49476311794452826,0.13512213803501905,1.0,0.9061102867126465
18,8,3.209927958936331e-05,0.05127306537876686,0.05409483292687072,3.0,0.9664570093154907
19,64,4.509175539170843e-05,0.31406577359583,0.09969969441552148,1.0,0.9066400527954102
20,8,9.970221802342297e-05,0.26204938779141035,0.027807763538050912,1.0,0.9451913237571716
21,64,3.4758966654483924e-05,0.1834307044715448,0.17022821999659982,1.0,0.8404255509376526
22,64,3.364849531509483e-05,0.0814295989672916,0.29471217224140345,1.0,0.6610254049301147
23,64,5.1989203515268074e-05,0.15769311225126206,0.18926058221755895,1.0,0.8706443905830383
24,64,2.6968526762859304e-05,0.23291047995092787,0.00046571146856441703,1.0,0.9127382040023804
25,64,2.0211047040241094e-05,0.36615387200153254,0.11258170839503498,1.0,0.8322738409042358
26,16,3.84433686768347e-05,0.0008134639383592331,0.07113280892014501,1.0,0.9487982988357544
27,32,6.823622540632173e-05,0.06936080939265842,0.2713119537939346,1.0,0.9088191390037537
28,64,2.9198570860588544e-05,0.4433033433925223,0.2162958371171494,1.0,0.697475016117096
29,8,1.64394355460067e-05,0.1523577772877438,0.16288290128220037,1.0,0.9110779762268066
30,8,4.768360136796289e-05,0.1249831470361415,0.028933174975184255,2.0,0.9545454382896423
31,8,2.1566816218841528e-05,0.4995994031174682,0.12219340858670469,1.0,0.866415798664093
32,8,2.329335155790234e-05,0.43685892130001175,0.1425518523114988,1.0,0.8679245114326477
33,8,2.8409706222067797e-05,0.41403040154192716,0.08378912118787873,4.0,0.9705573320388794
34,8,3.568786657069789e-05,0.4226174373925423,0.08869322966018753,4.0,0.9741151332855225
35,8,2.8116001763534634e-05,0.31284490834826806,0.05484901461655855,4.0,0.9692227244377136
36,32,4.2378690746522514e-05,0.40436752343155546,0.043177449898372064,1.0,0.9420889616012573
37,64,2.5410975805838238e-05,0.21882469614928304,0.022493918155795656,1.0,0.9116325378417969
38,8,3.6659873521262996e-05,0.3481354891647387,0.21892856907740163,1.0,0.8687440752983093
39,16,5.488629502031932e-05,0.283518404958296,0.06543160197885099,3.0,0.9671704173088074
40,64,1.4306444284372104e-05,0.12249730347905845,0.2659965972585975,1.0,0.0
41,8,3.2624900280340895e-05,0.41362102997507894,0.08362704861626952,1.0,0.9185407161712646
42,8,3.7931456178675705e-05,0.45566939279003993,0.08700886960164082,1.0,0.9285352230072021
43,8,2.387131399337987e-05,0.3802030632508261,0.09791287274031066,1.0,0.9050880670547485
44,8,4.285213800515221e-05,0.3488667838371243,0.013613326803970129,3.0,0.9719725251197815
45,8,2.847182704542181e-05,0.42527024910705713,0.1251196785046184,1.0,0.8980582356452942
46,32,3.66602544145296e-05,0.1967789180708074,0.04382066125611296,1.0,0.9419620037078857
47,8,4.650786153390854e-05,0.3853319876966145,0.1572509964280761,1.0,0.922457218170166
48,64,3.051639250083759e-05,0.3241320661679564,0.0554418619132411,1.0,0.9182643890380859
49,16,1.003635978662654e-05,0.282070626737496,0.08991837370606723,1.0,0.8729704022407532
50,8,6.660044036393063e-05,0.47528222042151175,0.189925471537379,1.0,0.8994657397270203
