trial,per_device_train_batch_size,learning_rate,weight_decay,warmup_ratio,best_epoch,best_f1
0,32,5.437060203237185e-05,0.021248555791150536,0.0,5.0,0.9205840229988098
1,8,2.652222036626081e-05,0.07660548194855987,0.0,6.0,0.9225327372550964
2,32,3.924492234423932e-05,0.2998790021476456,0.0,9.0,0.9198179244995117
3,64,7.293629525364488e-05,0.40506353595535716,0.0,3.0,0.9199719429016113
4,8,1.7260077122654997e-05,0.04147802572698406,0.0,6.0,0.9195402264595032
5,8,8.4109839776512e-05,0.012038272739440525,0.0,1.0,0.9021547436714172
6,16,2.2689559030759807e-05,0.042478601230088564,0.0,1.0,0.9100510478019714
7,32,2.3670053675554204e-05,0.2649312903716647,0.0,1.0,0.912840723991394
8,16,2.413911186746629e-05,0.2746868446483906,0.0,1.0,0.9111384749412537
9,64,1.0795446171209154e-05,0.22118468527311647,0.0,1.0,0.8929765820503235
10,8,4.128605325942731e-05,0.144225769529318,0.0,3.0,0.9143752455711365
11,32,5.517969341460009e-05,0.12574948668680488,0.0,3.0,0.9215720295906067
12,8,5.106300310880285e-05,0.12314673658901895,0.0,10.0,0.9228057861328125
13,8,3.5508316143305585e-05,0.14689863508302706,0.0,3.0,0.9183781147003174
14,8,1.5705448630593978e-05,0.11700993688617857,0.0,1.0,0.9094722270965576
15,8,5.185545930560957e-05,0.21029794423309767,0.0,1.0,0.9160764813423157
16,8,2.726842182108411e-05,0.47439843839659024,0.0,3.0,0.9156961441040039
17,8,6.787841271502032e-05,0.10336775877726187,0.0,1.0,0.9177765846252441
18,16,3.147909706229818e-05,0.1929287798890871,0.0,1.0,0.9128528833389282
19,64,1.553514754679188e-05,0.3417405375637588,0.0,1.0,0.9030845165252686
20,8,9.678626888359005e-05,0.06794570304557931,0.0,1.0,0.9034090638160706
21,32,5.7613017789736154e-05,0.07607401652788784,0.0,3.0,0.9164495468139648
22,32,4.415174899952421e-05,0.006785123597403742,0.0,9.0,0.9209790229797363
23,32,4.966714055078354e-05,0.18033015899924576,0.0,3.0,0.9184669256210327
24,8,3.267412260828672e-05,0.09846313398461037,0.0,1.0,0.9109084606170654
25,32,6.752609608861419e-05,0.055075388381345146,0.0,3.0,0.9172041416168213
26,64,1.9957196534757302e-05,0.0008945202729711485,0.0,1.0,0.9086964130401611
27,16,4.3412879682580404e-05,0.16225865278967383,0.0,1.0,0.9106517434120178
28,8,3.1291286443800465e-05,0.08350304688886559,0.0,3.0,0.9180271029472351
29,32,3.688378094247338e-05,0.3216972341131288,0.0,1.0,0.9136022925376892
30,32,5.8393014815253965e-05,0.2354719189987527,0.0,1.0,0.9153261184692383
31,32,4.360561720325413e-05,0.032278242703152285,0.0,1.0,0.9159544110298157
32,32,4.5749089095695284e-05,0.03485875156211185,0.0,1.0,0.9155381321907043
33,32,6.509688310994762e-05,0.0042108905951223075,0.0,1.0,0.9146406650543213
34,32,7.80112461966206e-05,0.07492165764814604,0.0,1.0,0.9152421355247498
35,8,3.831746016999148e-05,0.02740580639279379,0.0,1.0,0.9104268550872803
36,64,2.7011090375274727e-05,0.0502802620787458,0.0,1.0,0.9104423522949219
37,32,4.7665501876146156e-05,0.11463555539929149,0.0,3.0,0.920623779296875
38,16,8.143299280297955e-05,0.01609043717917956,0.0,1.0,0.9088678359985352
39,8,6.116354622326982e-05,0.3670518172814823,0.0,3.0,0.9154437184333801
40,8,9.374798850632261e-05,0.05489031999114369,0.0,1.0,0.9096694588661194
41,8,1.8573318373880675e-05,0.0003573956396196124,0.0,1.0,0.9103303551673889
42,8,1.0237303983210886e-05,0.08919264506276753,0.0,1.0,0.9074041843414307
43,8,1.5636790817605893e-05,0.13372999185365925,0.0,1.0,0.9087731838226318
44,8,2.7455956463574897e-05,0.034042196981760114,0.0,1.0,0.9107702970504761
45,32,5.19511178259999e-05,0.05764725607444544,0.0,1.0,0.914893627166748
