trial,per_device_train_batch_size,learning_rate,weight_decay,warmup_ratio,best_epoch,best_f1
0,32,2.2804528759175178e-05,0.4848845504551701,0.2743746208082961,8.0,0.9633952379226685
1,32,4.545171442508925e-05,0.45064203897969823,0.20376918068405656,8.0,0.9617021083831787
2,8,1.3290743304428233e-05,0.46653478277460636,0.20073763134043496,7.0,0.965407133102417
3,32,2.7115581663395188e-05,0.32035224610852275,0.11704535527516864,10.0,0.9646064639091492
4,32,3.735743160770899e-05,0.49898475096454525,0.10955616109851929,5.0,0.9652963280677795
5,8,6.581945214400897e-05,0.23806878122861536,0.19137740984409538,1.0,0.9025423526763916
6,32,8.80575297890822e-05,0.43840739121772937,0.08939855067841807,2.0,0.9495267868041992
7,32,8.063602898623651e-05,0.16650841577401565,0.23300329579925053,2.0,0.9563365578651428
8,64,6.117639176564965e-05,0.13126154968031062,0.19977957970847923,6.0,0.9599999785423279
9,8,1.1545443827473043e-05,0.2691958439703631,0.12460917193759978,2.0,0.9460580945014954
10,16,2.2557215993381276e-05,0.012040024387328485,8.551700654274574e-05,6.0,0.9607635140419006
11,32,2.1949797977757493e-05,0.3498867580903654,0.2974574884094671,1.0,0.7231897115707397
12,64,2.4063883297743565e-05,0.330827439072688,0.05384892115953273,4.0,0.9489051103591919
13,16,2.9364095858546627e-05,0.37113686414571234,0.2932795376324008,3.0,0.9588894844055176
14,32,1.5858788038826257e-05,0.40425423879885825,0.1586000331747177,1.0,0.8469087481498718
15,32,1.8128407025239942e-05,0.28548965869625315,0.2462451100323955,1.0,0.7222731709480286
16,32,3.414890977638035e-05,0.18265488120773588,0.06441594767948144,2.0,0.9624139666557312
17,16,4.3823304991303836e-05,0.05806280404718883,0.16144635346066394,6.0,0.9615384340286255
18,64,2.8011642528896296e-05,0.30805659898197246,0.0022944094216831995,6.0,0.9617428183555603
19,32,1.7038926660484093e-05,0.39015163850369083,0.2536783266880931,1.0,0.6918630599975586
20,32,1.0646901305071116e-05,0.23543821098312165,0.13731606110002004,1.0,0.7394564151763916
21,32,3.546106659142629e-05,0.499855008289361,0.11454198988686604,2.0,0.9555912017822266
22,32,4.180843563309041e-05,0.4982773920113773,0.08815062566800269,2.0,0.9617834687232971
23,32,5.4224610505591306e-05,0.42879601858580907,0.09851548062377818,8.0,0.9634340405464172
24,32,5.2995880869004654e-05,0.4180213209119472,0.03989442130648288,2.0,0.9563846588134766
25,32,2.7403426294080244e-05,0.3727258483650287,0.172309875784252,1.0,0.8837890625
26,16,2.0451414551986435e-05,0.43730594519746124,0.07676794587946655,6.0,0.9567053914070129
27,8,9.890910167358811e-05,0.3261040416143896,0.03602492127064319,1.0,0.9556494355201721
28,64,5.1418065227368694e-05,0.4629620157281672,0.13925985450848447,1.0,0.9118695855140686
29,32,1.3792311325490277e-05,0.41948407849631986,0.10274902509743739,1.0,0.8654124736785889
30,32,2.4946498314373863e-05,0.46075603102980023,0.2725812123870721,1.0,0.8174757361412048
31,32,3.796048233969489e-05,0.4983490855417992,0.11255837468633353,1.0,0.9330499172210693
32,32,3.131598693340544e-05,0.46633900592819444,0.13335897735814403,1.0,0.9263485670089722
33,32,5.0401545520166685e-05,0.4374814596794752,0.18162086386292775,1.0,0.9299631118774414
34,8,6.717059985136274e-05,0.3912852935178532,0.22070876637669212,2.0,0.9575952887535095
35,32,3.9852542891407296e-05,0.4766588444935527,0.0883956466568339,4.0,0.9593667387962341
36,32,6.488570290176331e-05,0.44564594412937253,0.15118335412415035,2.0,0.9562900066375732
37,8,2.007853924400978e-05,0.36073579466534067,0.10878954103193202,3.0,0.9576271176338196
38,32,7.648165977432365e-05,0.22848762808875478,0.21709575087101396,1.0,0.9387972354888916
39,64,5.731011362176123e-05,0.4754281189662691,0.10005606779697476,1.0,0.9261954426765442
40,32,4.675443740457744e-05,0.4254574393142504,0.12519908797726792,1.0,0.9353813529014587
41,64,2.7471594042877763e-05,0.2960912604405789,0.010843623627481327,1.0,0.9236326217651367
42,64,3.211553027518174e-05,0.3070651541253093,0.06078378580996273,1.0,0.9166240692138672
43,64,2.4821995617336538e-05,0.19664702931224778,0.023570248553893676,1.0,0.9251419901847839
44,64,2.7050762676116438e-05,0.3188755409294007,0.20043193081793675,1.0,0.7105141282081604
45,16,3.679302171038398e-05,0.2739183357688392,0.18056424415250028,5.0,0.9591078162193298
46,64,2.1936515095188648e-05,0.33924321328146284,0.07509139725468247,1.0,0.9028686285018921
47,32,3.119229733027899e-05,0.262465042766003,0.07924562036935567,1.0,0.9371980428695679
48,8,1.3869104299002588e-05,0.3749235233554826,0.03713545034298485,5.0,0.9644562602043152
49,32,1.6246353543365655e-05,0.40043733651826974,0.053840869694372975,1.0,0.9289501309394836
50,16,1.884245959606799e-05,0.3492412284102563,0.0017282765936271205,5.0,0.9588173031806946
51,32,3.413797229551111e-05,0.4520318643790838,0.25918627172975134,1.0,0.8641618490219116
52,32,4.766342685658733e-05,0.08846972354766974,0.2795635250436036,1.0,0.8854064345359802
53,32,4.0813684788682645e-05,0.4814485562989447,0.24044393209861908,1.0,0.8854064345359802
54,32,2.9024893097873652e-05,0.2165066621732457,0.12204736704079594,1.0,0.9267532229423523
55,32,4.519084713066866e-05,0.4088339435764497,0.14644518199312495,1.0,0.9324253797531128
56,32,5.560999335587416e-05,0.48359734408229005,0.2212393941060904,1.0,0.9329842925071716
57,64,2.287696338252297e-05,0.4326828872720061,0.1598397032110265,1.0,0.7416154742240906
58,32,7.32784077193196e-05,0.13617596291110384,0.09578475083538973,1.0,0.9492412209510803
59,16,2.603517754486698e-05,0.2532589640899049,0.20917731283148042,6.0,0.961904764175415
60,32,3.3176848295570014e-05,0.3807369576886894,0.16984000736654067,1.0,0.902708113193512
61,8,1.4078522165491282e-05,0.45129588341794485,0.23102697502734,1.0,0.9047619104385376
62,8,1.2314654193544293e-05,0.4930245144626577,0.27449293151544196,1.0,0.8654970526695251
63,8,4.284719263404715e-05,0.46116875651514466,0.18705072261584937,2.0,0.9616613388061523
64,8,2.960741071471581e-05,0.42128757350882806,0.1310828907212573,3.0,0.96846604347229
65,8,2.9003179296019116e-05,0.4125842675848193,0.12442779235384073,3.0,0.9664715528488159
66,8,2.925674614115225e-05,0.41119223816115796,0.12487371850722442,1.0,0.9416216015815735
67,8,2.255634565201368e-05,0.42678890856611085,0.14583153111532518,1.0,0.9414247870445251
68,8,3.7871482231766425e-05,0.35597962656787097,0.1318485834360163,1.0,0.9290322661399841
69,8,2.086042912564355e-05,0.39726398758036985,0.11164526471744113,1.0,0.939345121383667
70,8,2.394411615887608e-05,0.31351400212427816,0.1170058006672405,1.0,0.9350649118423462
71,32,3.108947473914219e-05,0.44721069551285064,0.09366343995704866,1.0,0.9320594668388367
72,32,2.8687971208208702e-05,0.4648369485716207,0.10550425540495555,1.0,0.9323467016220093
73,32,2.5985575974465164e-05,0.4817953310850838,0.2876446080318129,1.0,0.8092933297157288
74,64,3.543037182982606e-05,0.2903209771971685,0.13666709657471507,1.0,0.9048582911491394
75,8,3.9087338513003436e-05,0.4402434166559041,0.25701127514663347,1.0,0.9414247870445251
76,32,5.8904113383931425e-05,0.3846830239698278,0.16890361215630478,1.0,0.9359658360481262
77,32,3.0494878016092306e-05,0.3332463138183896,0.15018681896630892,1.0,0.9074355363845825
78,64,4.9828363717396016e-05,0.41388884948152127,0.0839772086974553,1.0,0.9264248609542847
79,16,3.5569944908500665e-05,0.47093965262222887,0.07134734911930257,2.0,0.9605963826179504
80,32,1.920005534541986e-05,0.3681378057980134,0.12867688713487066,1.0,0.8760330677032471
81,8,2.7478912138426612e-05,0.4946501783126073,0.14165896804540415,1.0,0.941364586353302
82,8,1.183350971784966e-05,0.4288298816762576,0.19931274426054907,1.0,0.9036796689033508
83,8,1.0417636675245674e-05,0.45751374722641736,0.29968659128706865,1.0,0.77311772108078
84,8,5.336860401923977e-05,0.48574451610439706,0.11827788957829305,1.0,0.9322666525840759
85,32,3.281754777379662e-05,0.4385443582056964,0.045493700914647994,3.0,0.9618239402770996
86,8,6.284911864988544e-05,0.4703825369725625,0.24670821876810692,1.0,0.942307710647583
87,64,1.511697586174549e-05,0.4192811220498204,0.15491978086934965,1.0,0.5885390043258667
88,32,2.454195377039283e-05,0.4545819664929412,0.026192983196272626,2.0,0.9572107791900635
89,32,4.273439508630009e-05,0.39684303759614603,0.10203415260788291,10.0,0.9629237055778503
90,32,4.543557736675482e-05,0.39104651521274075,0.10045768289760224,2.0,0.9591078162193298
91,32,4.1646488905175426e-05,0.2753524518485738,0.11309885862230458,1.0,0.9341126680374146
92,32,4.954382116769498e-05,0.013544833848080529,0.10618784211838805,2.0,0.9581345915794373
93,32,1.7372821299254617e-05,0.34100364224048657,0.0876355389220162,1.0,0.9083544015884399
94,32,4.36225591683557e-05,0.4416998149005226,0.12224990092757768,1.0,0.936170220375061
95,32,3.520462060786508e-05,0.406988266739408,0.22797216417645308,1.0,0.8796882629394531
96,8,3.926456289151737e-05,0.42474814882866024,0.0670256925212516,2.0,0.9634727239608765
97,16,2.9864545719496306e-05,0.4004301284974082,0.13338323158787824,4.0,0.960212230682373
98,64,2.8250724667357577e-05,0.4983233400111533,0.2633388069751329,1.0,0.6057692170143127
99,32,3.685710198537885e-05,0.4715858174643149,0.16442101612780027,1.0,0.9258496165275574
100,8,2.6203648889893332e-05,0.36776016962204433,0.09390497054884467,2.0,0.9526813626289368
101,32,3.338888576007782e-05,0.15757610028954527,0.057357044198163454,4.0,0.9613142609596252
102,32,3.1748775422231174e-05,0.3038493543625233,0.09974536489233658,1.0,0.9327024221420288
103,32,4.063623039990254e-05,0.09570101109844859,0.1405729886584616,1.0,0.9295478463172913
104,32,2.334816370811992e-05,0.19704604691865613,0.08088074517166825,1.0,0.9294871687889099
105,32,4.654486799641626e-05,0.23065762409607074,0.025429331992448616,2.0,0.9521807432174683
106,32,5.480877366442105e-05,0.2173470471379103,0.11829228181301656,2.0,0.9578216671943665
107,64,2.5680122251812363e-05,0.4893013725361122,0.1265946961620549,1.0,0.8828451633453369
108,8,3.727729744456994e-05,0.24363875898747647,0.04771970861000782,2.0,0.9622541069984436
109,32,3.4393394294417e-05,0.17554591018285753,0.06551092250649417,2.0,0.9638298153877258
110,32,2.1503488056248425e-05,0.44823213975722037,0.01835037371136481,1.0,0.9396325349807739
111,32,3.394389828114851e-05,0.17272431131834595,0.11186970144469224,1.0,0.9314495325088501
112,32,3.0226454552133287e-05,0.1396377846486219,0.06942773706167653,1.0,0.9436545372009277
113,32,3.510267414122625e-05,0.2591815308942524,0.004590466685677478,2.0,0.9568874835968018
114,32,2.7632164725503375e-05,0.18191722371088404,0.17878792520812503,1.0,0.8796882629394531
115,32,6.973356690153458e-05,0.19909598222126876,0.08748077641842847,2.0,0.9528851509094238
116,8,1.2852529221882124e-05,0.4774592928486553,0.10716941350254205,1.0,0.933684229850769
117,16,3.173276860749354e-05,0.4327362554710593,0.21362481328164096,2.0,0.9289340376853943
118,32,4.337452492229257e-05,0.46325988329949735,0.0638238343108009,1.0,0.9552238583564758
119,64,5.185532384207917e-05,0.1214248943847267,0.2395032412906809,1.0,0.877828061580658
120,8,3.8258029347981394e-05,0.15980864206496853,0.07447284707418253,2.0,0.9549738168716431
